State,City_Type,Store_Type,Store_Count,SKU_Count,Inventory_Management,Ordering_Method,Stockout_Frequency,Overstock_Frequency,Unsold_Inventory_Percentage,Supplier_Count,Supplier_Lead_Time,Top_Selling_Category,Demand_Driver,Peak_Season_Demand_Change,Combination_Purchase_Frequency,Common_Product_Combinations,Digital_Sales_Data_Years,Decision_Maker,AI_Comfort_Level,Most_Valuable_Feature,Monthly_Inventory_Purchase_Value,Monthly_Software_Budget,Adoption_Motivation,Adoption_Likelihood
Telangana,Tier 1 city,Pharmacy / Medical Store,11–25 stores,500–2000,POS or billing software,Sales reports / historical data,Weekly,Never,20–30%,More than 20 suppliers,Highly variable,Medicines / healthcare products,Social media trends,Slight increase,Rarely,Medicines + health supplements,No digital data,Head office / franchise owner,Neutral,Automatic reorder suggestions,₹5–10 lakh,₹3000–₹7000,Lower inventory cost,Definitely not
Karnataka,Tier 2 city,Pharmacy / Medical Store,2–5 stores,500–2000,Combination of multiple tools,Past experience / intuition,Monthly,Occasionally,10–20%,4–10 suppliers,3–5 days,Medicines / healthcare products,Promotions / discounts,Slight increase,Yes frequently,Medicines + health supplements,1–3 years,Store owner,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹1000–₹3000,Automated purchasing,Likely
Uttar Pradesh,Tier 1 city,Pharmacy / Medical Store,1 store,Less than 500,Combination of multiple tools,Past experience / intuition,Monthly,Rarely,5–10%,1–3 suppliers,1–2 days,Medicines / healthcare products,Social media trends,Increases significantly,Sometimes,Medicines + health supplements,1–3 years,Store owner,Neutral,Demand forecasting,₹10–50 lakh,Less than ₹1000,Lower inventory cost,Unlikely
Uttar Pradesh,Tier 2 city,Electronics,1 store,2000–5000,Combination of multiple tools,Combination of methods,Monthly,Rarely,10–20%,1–3 suppliers,1 week,Electronics,Regular repeat customers,Increases significantly,Rarely,Other,More than 3 years,Store owner,Somewhat comfortable,Promotion demand prediction,Less than ₹1 lakh,Less than ₹1000,Reduced stockouts,Maybe
Delhi/NCR,Tier 1 city,Pharmacy / Medical Store,1 store,2000–5000,Excel / spreadsheets,Combination of methods,Rarely,Very frequently,Less than 5%,1–3 suppliers,Highly variable,Medicines / healthcare products,Regular repeat customers,Slight increase,Yes frequently,Medicines + health supplements,More than 3 years,Store owner,Somewhat comfortable,Supplier performance insights,₹10–50 lakh,More than ₹15000,Lower inventory cost,Likely
West Bengal,Tier 1 city,Apparel / Fashion,2–5 stores,Less than 500,ERP or inventory management software,Sales reports / historical data,Weekly,Occasionally,10–20%,10–20 suppliers,1–2 days,Apparel / clothing,Regular repeat customers,Slight increase,Yes frequently,Saree + blouse,Less than 1 year,Head office / franchise owner,Neutral,Automatic reorder suggestions,₹1–5 lakh,More than ₹15000,Reduced stockouts,Unlikely
Uttar Pradesh,Tier 3 city / small town,Electronics,2–5 stores,2000–5000,Excel / spreadsheets,Sales reports / historical data,Monthly,Rarely,10–20%,More than 20 suppliers,3–5 days,Electronics,Social media trends,Slight increase,Yes frequently,Other,Less than 1 year,Distributor recommendation,Not comfortable,Demand forecasting,₹10–50 lakh,₹1000–₹3000,Reduced stockouts,Very likely
Karnataka,Rural,Beauty / Cosmetics,2–5 stores,500–2000,Excel / spreadsheets,Software analytics,Rarely,Occasionally,20–30%,1–3 suppliers,Same day,Beauty / cosmetics,Social media trends,Increases significantly,Yes frequently,Shampoo + conditioner,1–3 years,Store owner,Very comfortable,Demand forecasting,₹5–10 lakh,₹3000–₹7000,Increased revenue,Maybe
Telangana,Tier 2 city,Beauty / Cosmetics,6–10 stores,2000–5000,POS or billing software,Past experience / intuition,Weekly,Occasionally,10–20%,4–10 suppliers,Same day,Beauty / cosmetics,Festivals,Slight increase,Sometimes,Shampoo + conditioner,No digital data,Store owner,Not comfortable,Automatic reorder suggestions,Less than ₹1 lakh,₹1000–₹3000,Increased revenue,Likely
Telangana,Tier 3 city / small town,Grocery / Supermarket,1 store,500–2000,POS or billing software,Past experience / intuition,Monthly,Occasionally,5–10%,4–10 suppliers,3–5 days,FMCG / grocery items,Promotions / discounts,Difficult to predict,Yes frequently,Snacks + beverages,Less than 1 year,Store owner,Not comfortable,Inventory alerts,₹5–10 lakh,More than ₹15000,Reduced stockouts,Likely
Gujarat,Tier 1 city,General Store / Kirana,1 store,500–2000,Combination of multiple tools,Sales reports / historical data,Monthly,Never,Less than 5%,4–10 suppliers,1 week,FMCG / grocery items,Regular repeat customers,Difficult to predict,Rarely,Rice + cooking oil,No digital data,Head office / franchise owner,Not comfortable,Automatic reorder suggestions,₹5–10 lakh,₹3000–₹7000,Lower inventory cost,Maybe
Other,Tier 3 city / small town,Beauty / Cosmetics,1 store,2000–5000,Excel / spreadsheets,Sales reports / historical data,Weekly,Occasionally,10–20%,1–3 suppliers,1–2 days,Beauty / cosmetics,Seasonal weather,Increases significantly,Sometimes,Shampoo + conditioner,Less than 1 year,Store owner,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹1000–₹3000,Increased revenue,Maybe
West Bengal,Tier 2 city,Grocery / Supermarket,6–10 stores,Less than 500,Combination of multiple tools,Sales reports / historical data,Monthly,Occasionally,Less than 5%,More than 20 suppliers,1–2 days,FMCG / grocery items,Seasonal weather,No change,Sometimes,Other,Less than 1 year,Head office / franchise owner,Not comfortable,Inventory alerts,₹10–50 lakh,₹1000–₹3000,Reduced stockouts,Maybe
West Bengal,Tier 1 city,Grocery / Supermarket,11–25 stores,2000–5000,Combination of multiple tools,Combination of methods,Monthly,Occasionally,20–30%,10–20 suppliers,Highly variable,FMCG / grocery items,Regular repeat customers,Increases significantly,Rarely,Snacks + beverages,More than 3 years,Operations manager,Very comfortable,Promotion demand prediction,₹5–10 lakh,₹3000–₹7000,Better supplier management,Unlikely
Karnataka,Tier 1 city,Grocery / Supermarket,11–25 stores,500–2000,Combination of multiple tools,Past experience / intuition,Daily,Rarely,10–20%,4–10 suppliers,1 week,FMCG / grocery items,Regular repeat customers,Slight increase,Never,Snacks + beverages,More than 3 years,Operations manager,Somewhat comfortable,Automatic reorder suggestions,Less than ₹1 lakh,₹1000–₹3000,Reduced stockouts,Maybe
Telangana,Tier 1 city,Beauty / Cosmetics,11–25 stores,500–2000,Excel / spreadsheets,Sales reports / historical data,Monthly,Rarely,More than 30%,4–10 suppliers,3–5 days,Beauty / cosmetics,Promotions / discounts,Slight increase,Yes frequently,Shampoo + conditioner,No digital data,Head office / franchise owner,Somewhat comfortable,Automatic reorder suggestions,₹1–5 lakh,₹3000–₹7000,Reduced stockouts,Likely
Uttar Pradesh,Tier 2 city,Beauty / Cosmetics,2–5 stores,More than 10000,POS or billing software,Software analytics,Monthly,Rarely,20–30%,4–10 suppliers,Highly variable,Beauty / cosmetics,Promotions / discounts,Slight increase,Yes frequently,Shampoo + conditioner,More than 3 years,Head office / franchise owner,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹7000–₹15000,Increased revenue,Definitely not
Telangana,Tier 1 city,Beauty / Cosmetics,25+ stores,500–2000,POS or billing software,Past experience / intuition,Monthly,Never,10–20%,1–3 suppliers,1–2 days,Beauty / cosmetics,Regular repeat customers,Difficult to predict,Yes frequently,Other,1–3 years,Store owner,Somewhat comfortable,Inventory alerts,Less than ₹1 lakh,Less than ₹1000,Automated purchasing,Very likely
Karnataka,Tier 2 city,General Store / Kirana,25+ stores,Less than 500,Combination of multiple tools,Past experience / intuition,Monthly,Occasionally,More than 30%,1–3 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,No change,Sometimes,Rice + cooking oil,No digital data,Store owner,Somewhat comfortable,Promotion demand prediction,₹5–10 lakh,Less than ₹1000,Increased revenue,Very likely
Telangana,Tier 3 city / small town,Grocery / Supermarket,2–5 stores,500–2000,Excel / spreadsheets,Software analytics,Monthly,Rarely,10–20%,1–3 suppliers,Highly variable,FMCG / grocery items,Seasonal weather,Slight increase,Sometimes,Rice + cooking oil,1–3 years,Store owner,Very comfortable,Inventory alerts,₹10–50 lakh,₹3000–₹7000,Automated purchasing,Definitely not
Tamil Nadu,Tier 2 city,Beauty / Cosmetics,1 store,Less than 500,Excel / spreadsheets,Supplier recommendations,Monthly,Rarely,5–10%,1–3 suppliers,1 week,Beauty / cosmetics,Festivals,Slight increase,Sometimes,Shampoo + conditioner,1–3 years,Head office / franchise owner,Very comfortable,Inventory alerts,More than ₹50 lakh,₹3000–₹7000,Better supplier management,Unlikely
Tamil Nadu,Tier 1 city,Grocery / Supermarket,1 store,500–2000,POS or billing software,Software analytics,Almost never,Occasionally,5–10%,More than 20 suppliers,3–5 days,FMCG / grocery items,Social media trends,Slight increase,Yes frequently,Rice + cooking oil,More than 3 years,Operations manager,Neutral,Inventory alerts,₹5–10 lakh,₹1000–₹3000,Lower inventory cost,Likely
Other,Tier 2 city,Grocery / Supermarket,1 store,2000–5000,ERP or inventory management software,Sales reports / historical data,Rarely,Occasionally,20–30%,10–20 suppliers,3–5 days,FMCG / grocery items,Social media trends,Increases significantly,Sometimes,Snacks + beverages,Less than 1 year,Store owner,Somewhat comfortable,Promotion demand prediction,₹1–5 lakh,Less than ₹1000,Increased revenue,Definitely not
Tamil Nadu,Tier 1 city,Grocery / Supermarket,1 store,More than 10000,POS or billing software,Sales reports / historical data,Weekly,Very frequently,20–30%,4–10 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Slight increase,Rarely,Rice + cooking oil,1–3 years,Head office / franchise owner,Neutral,Automatic reorder suggestions,Less than ₹1 lakh,₹1000–₹3000,Automated purchasing,Definitely not
Tamil Nadu,Tier 2 city,Grocery / Supermarket,11–25 stores,Less than 500,Combination of multiple tools,Sales reports / historical data,Rarely,Occasionally,Less than 5%,More than 20 suppliers,Highly variable,FMCG / grocery items,Promotions / discounts,Difficult to predict,Yes frequently,Other,Less than 1 year,Store owner,Somewhat comfortable,Automatic reorder suggestions,Less than ₹1 lakh,₹1000–₹3000,Lower inventory cost,Definitely not
West Bengal,Tier 3 city / small town,Grocery / Supermarket,1 store,2000–5000,POS or billing software,Supplier recommendations,Weekly,Rarely,More than 30%,4–10 suppliers,Highly variable,FMCG / grocery items,Regular repeat customers,Increases significantly,Sometimes,Snacks + beverages,1–3 years,Operations manager,Somewhat comfortable,Demand forecasting,More than ₹50 lakh,₹3000–₹7000,Automated purchasing,Unlikely
Gujarat,Tier 2 city,Grocery / Supermarket,2–5 stores,500–2000,POS or billing software,Past experience / intuition,Weekly,Occasionally,20–30%,4–10 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,Difficult to predict,Sometimes,Rice + cooking oil,No digital data,Operations manager,Not comfortable,Automatic reorder suggestions,₹5–10 lakh,₹3000–₹7000,Lower inventory cost,Likely
Delhi/NCR,Tier 2 city,Grocery / Supermarket,2–5 stores,Less than 500,POS or billing software,Sales reports / historical data,Monthly,Never,20–30%,4–10 suppliers,Same day,FMCG / grocery items,Seasonal weather,Increases significantly,Sometimes,Rice + cooking oil,More than 3 years,Head office / franchise owner,Somewhat comfortable,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Reduced stockouts,Maybe
Maharashtra,Tier 3 city / small town,Apparel / Fashion,6–10 stores,500–2000,Excel / spreadsheets,Sales reports / historical data,Weekly,Rarely,5–10%,4–10 suppliers,1 week,Apparel / clothing,Festivals,Slight increase,Sometimes,Saree + blouse,Less than 1 year,Operations manager,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹7000–₹15000,Better supplier management,Maybe
Gujarat,Tier 1 city,Apparel / Fashion,6–10 stores,2000–5000,Excel / spreadsheets,Sales reports / historical data,Rarely,Rarely,Less than 5%,10–20 suppliers,1–2 days,Apparel / clothing,Festivals,Difficult to predict,Sometimes,Saree + blouse,1–3 years,Operations manager,Very comfortable,Promotion demand prediction,Less than ₹1 lakh,Less than ₹1000,Automated purchasing,Definitely not
Telangana,Tier 2 city,Pharmacy / Medical Store,2–5 stores,2000–5000,Combination of multiple tools,Supplier recommendations,Monthly,Occasionally,10–20%,1–3 suppliers,1–2 days,Medicines / healthcare products,Festivals,Slight increase,Never,Medicines + health supplements,1–3 years,Store owner,Somewhat comfortable,Inventory alerts,₹5–10 lakh,₹3000–₹7000,Lower inventory cost,Likely
West Bengal,Tier 1 city,Pharmacy / Medical Store,25+ stores,2000–5000,POS or billing software,Past experience / intuition,Monthly,Rarely,More than 30%,10–20 suppliers,1–2 days,Medicines / healthcare products,Regular repeat customers,Difficult to predict,Sometimes,Medicines + health supplements,More than 3 years,Operations manager,Neutral,Inventory alerts,₹1–5 lakh,₹3000–₹7000,Reduced stockouts,Unlikely
Maharashtra,Tier 3 city / small town,Beauty / Cosmetics,2–5 stores,More than 10000,Excel / spreadsheets,Sales reports / historical data,Rarely,Occasionally,More than 30%,4–10 suppliers,Same day,Beauty / cosmetics,Festivals,Difficult to predict,Sometimes,Other,More than 3 years,Head office / franchise owner,Very comfortable,Automatic reorder suggestions,₹10–50 lakh,₹1000–₹3000,Better supplier management,Likely
Rajasthan,Tier 1 city,Grocery / Supermarket,1 store,500–2000,POS or billing software,Past experience / intuition,Rarely,Never,Less than 5%,1–3 suppliers,Highly variable,FMCG / grocery items,Seasonal weather,Increases significantly,Never,Snacks + beverages,More than 3 years,Operations manager,Somewhat comfortable,Inventory alerts,₹10–50 lakh,₹1000–₹3000,Increased revenue,Unlikely
Maharashtra,Tier 3 city / small town,Electronics,2–5 stores,500–2000,POS or billing software,Combination of methods,Monthly,Very frequently,5–10%,1–3 suppliers,1 week,Electronics,Promotions / discounts,Slight increase,Rarely,Other,No digital data,Store owner,Neutral,Supplier performance insights,₹5–10 lakh,₹3000–₹7000,Automated purchasing,Likely
Gujarat,Tier 1 city,Beauty / Cosmetics,11–25 stores,500–2000,Combination of multiple tools,Sales reports / historical data,Monthly,Occasionally,20–30%,4–10 suppliers,Same day,Beauty / cosmetics,Festivals,No change,Yes frequently,Other,1–3 years,Operations manager,Neutral,Automatic reorder suggestions,₹5–10 lakh,₹7000–₹15000,Reduced stockouts,Likely
Gujarat,Tier 1 city,General Store / Kirana,2–5 stores,5000–10000,Excel / spreadsheets,Sales reports / historical data,Weekly,Rarely,5–10%,More than 20 suppliers,3–5 days,FMCG / grocery items,Festivals,Difficult to predict,Rarely,Snacks + beverages,More than 3 years,IT team,Neutral,Automatic reorder suggestions,₹5–10 lakh,₹3000–₹7000,Reduced stockouts,Definitely not
Tamil Nadu,Tier 2 city,Grocery / Supermarket,1 store,Less than 500,Excel / spreadsheets,Past experience / intuition,Monthly,Never,5–10%,4–10 suppliers,1 week,FMCG / grocery items,Promotions / discounts,No change,Sometimes,Other,1–3 years,Operations manager,Very comfortable,Supplier performance insights,₹5–10 lakh,₹1000–₹3000,Automated purchasing,Definitely not
